phoneNumber,cif,wingNo,wingMasterAccount,passcode,biller,reciver_wingNo,currency,,,,,wingNo
973042738,9846,00684779,MST006753145,2008,2383,554010,USD,973240162,973240162,,,
69233471,10401,00554010,MST006637166,2008,2421,589748,USD,85309935,85309935,,,
77710016,13134,00589748,MST006677733,2008,2424,2981733923,USD,976214672,976214672,,,
99229648,6425,2981733923,MST006603633,2008,2426,10222465,USD,15716989,4394218,,,
10222465,4369,10222465,MST006659017,2008,2466,10221333,USD,972422854,4453665,,,
10221333,11646,10221333,MST006613925,2008,2294,303765,USD,882991482,4156604,,,
976111154,7646,00303765,MST006701579,2008,2443,10235994,USD,15708156,15708156,,,
10235994,956,10235994,MST006700146,2008,2452,291698,USD,85277854,85277854,,,
92828111,14433,00291698,MST006601370,2008,2266,227744,USD,86814316,86814316,,,
89791331,2559,00227744,MST006610467,2008,2269,500781,USD,66328967,66328967,,,
976066488,10368,00500781,MST006676255,2008,2301,519958,USD,85488427,85488427,,,
78607790,2300,00519958,MST006636722,2008,2404,948717,USD,85315860,85315860,,,
12824315,14078,00948717,MST006577640,2008,2420,292314,USD,963284209,963284209,,,
11396655,4448,00292314,MST006607020,2008,2274,602348,USD,70761043,4220358,,,
15832932,11824,00602348,MST006708850,2008,2304,740600,USD,719833698,719833698,,,
98394879,382,00740600,MST006738218,2008,2306,512309,USD,967963343,2738947,,,
15533535,9458,00512309,MST006587766,2008,2414,378937,USD,61217817,61217817,,,
77889090,7658,00378937,MST006597448,2008,2207,61884920,USD,712027339,712027339,,,
61884920,2220,61884920,MST006614503,2008,2203,271248,USD,11524083,11524083,,,
67620620,7469,00271248,MST006578556,2008,2221,292304,USD,886705870,886705870,,,
17283488,12434,00292304,MST006740290,2008,2236,922411,USD,889734317,889734317,,,
81681168,5856,00922411,MST006681733,2008,2171,659481,USD,969627979,4395865,,,
78905688,2981,00659481,MST006640308,2008,2241,527366,USD,719344263,719344263,,,
12782895,7491,00527366,MST006597366,2008,2163,333339,USD,70813537,4369605,,,
15909771,8879,00333339,MST006598124,2008,2191,10323673,USD,86218552,4130693,,,
70380345,940,10323673,MST006623318,2008,2202,10383737,USD,15402966,3789750,,,
10383737,9138,10383737,MST006579285,2008,2209,10735376,USD,90683968,90683968,,,
10735376,6091,10735376,MST006574649,2008,2224,541646,USD,95293437,95293437,,,
98710626,5181,00541646,MST006637528,2008,2319,547971,USD,964857169,964857169,,,
89623792,992,00547971,MST006663556,2008,2349,222375,USD,78869678,78869678,,,
77333279,11257,00222375,MST006654913,2008,2372,565656,USD,885891150,885891150,,,
12974878,3637,00565656,MST006751466,2008,2484,207484,USD,16683899,4285622,,,
12550996,7669,00207484,MST006603635,2008,2518,495133,USD,16401266,4207050,,,
18999018,8772,00495133,MST006588544,2008,2457,560378,USD,888021707,4469432,,,
92285045,13389,00560378,MST006730625,2008,2448,521238,USD,61437759,3823083,,,
10665748,10968,00521238,MST006605431,2008,2427,268118,USD,715464402,715464402,,,
16240001,8746,00268118,MST006598820,2008,2468,10957859,USD,717817278,717817278,,,
92643631,13561,10957859,MST006612654,2008,2485,1036548,USD,10910447,3475665,,,
86823938,2200,01036548,MST006581871,2008,2504,11333965,USD,975514080,975514080,,,
11333965,9636,11333965,MST006625241,2008,2308,11391710,USD,716307287,716307287,,,
11391710,9911,11391710,MST006620690,2008,2360,562016,USD,715133706,715133706,,,
12840118,12168,00562016,MST006605494,2008,2425,593602,USD,976850412,4069833,,,
89220676,655,00593602,MST006642633,2008,2444,508892,USD,716547463,716547463,,,
98294955,8946,00508892,MST006669067,2008,2256,722777,USD,10539043,4404275,,,
98509028,282,00722777,MST006684593,2008,2298,683164,USD,61516372,61516372,,,
12900703,14467,00683164,MST006756087,2008,2413,10430930,USD,719112711,4401995,,,
10430930,11577,10430930,MST006606028,2008,2271,625447,USD,882744023,4428000,,,
17566594,5930,00625447,MST006630669,2008,2275,10234239,USD,978735329,2977417,,,
10234239,6808,10234239,MST006592353,2008,2276,600998,USD,99290800,99290800,,,
12924264,12346,00600998,MST006754322,2008,2282,554822,USD,77432617,77432617,,,
15387938,13123,00554822,MST006654385,2008,2320,556663,USD,962595991,4157215,,,
93416164,10658,00556663,MST006609548,2008,2344,999970,USD,15874027,4342177,,,
10656988,9713,00999970,MST006634930,2008,2345,10923158,USD,92860136,4179504,,,
10923158,1778,10923158,MST006655659,2008,2397,605981,USD,11870998,11870998,,,
889893379,10924,00605981,MST006590010,2008,2399,10426246,USD,713302287,713302287,,,
10426246,14339,10426246,MST006656891,2008,2193,510008,USD,61690293,61690293,,,
77377794,9325,00510008,MST006686851,2008,2223,10272754,USD,714308515,714308515,,,
10272754,4961,10272754,MST006662518,2008,2238,525148,USD,10527862,4421565,,,
99201627,9447,00525148,MST006593248,2008,2239,917021,USD,10606554,3950381,,,
89222161,5425,00917021,MST006691381,2008,2249,10567416,USD,10349304,4421634,,,
10567416,5133,10567416,MST006751594,2008,2252,1005548,USD,10845793,3442461,,,
77576062,4248,01005548,MST006676540,2008,2254,999960,USD,962249038,3191055,,,
93999950,15345,00999960,MST006672804,2008,2167,10325254,USD,719499506,719499506,,,
10325254,5672,10325254,MST006647933,2008,2177,10330494,USD,12466495,3864797,,,
10330494,6352,10330494,MST006656014,2008,2185,229491,USD,93886869,3589212,,,
92325004,8891,00229491,MST006747468,2008,2226,666652,USD,15460980,4171497,,,
11649393,11323,00666652,MST006583704,2008,2606,937962,USD,976979757,976979757,,,
69784743,6838,00937962,MST006651703,2008,2473,280878,USD,963643894,4484783,,,
92285785,7313,00280878,MST006666089,2008,2513,1004890,USD,965527569,4237870,,,
92626137,4412,01004890,MST006639594,2008,2358,10727627,USD,888716900,4396914,,,
10727627,14893,10727627,MST006656595,2008,2359,10525777,USD,977626606,4413092,,,
10525777,1589,10525777,MST006586020,2008,2422,11368369,USD,10297502,4421760,,,
11368369,13858,11368369,MST006613160,2008,2430,622169,USD,68637691,68637691,,,
10227763,13456,00622169,MST006574595,2008,2440,12386316,USD,61928558,61928558,,,
12386316,8564,12386316,MST006691996,2008,2258,282261,USD,966377532,4138284,,,
92999642,7769,00282261,MST006627158,2008,2259,10774744,USD,963689118,4159253,,,
10774744,2715,10774744,MST006671074,2008,2263,10696271,USD,87341486,87341486,,,
10696271,5145,10696271,MST006590215,2008,2299,10947555,USD,967348060,4421680,,,
10947555,5457,10947555,MST006652607,2008,2410,11206831,USD,66512516,66512516,,,
11206831,3260,11206831,MST006655317,2008,2161,538618,USD,70577199,4393752,,,
89945638,15689,00538618,MST006632532,2008,2204,10397056,USD,17451947,4389022,,,
10397056,4132,10397056,MST006625810,2008,2217,10418219,USD,714792386,714792386,,,
10418219,5290,10418219,MST006672834,2008,2231,11326104,USD,85508180,85508180,,,
11326104,3212,11326104,MST006594798,2008,2165,542230,USD,86224229,4485396,,,
12382868,13600,00542230,MST006615240,2008,2174,10407898,USD,963677889,963677889,,,
10407898,5722,10407898,MST006752135,2008,2180,11541731,USD,889607963,4257560,,,
99803155,13758,11541731,MST006653346,2008,2220,10546123,USD,10434983,4388563,,,
10546123,13216,10546123,MST006680323,2008,2247,10667887,USD,16668537,4452567,,,
10667887,4521,10667887,MST006717881,2008,2250,574350,USD,17974132,4130140,,,
977006709,11235,00574350,MST006756237,2008,2168,10222018,USD,69520125,4429155,,,
10222018,11362,10222018,MST006606256,2008,2170,1034391,USD,66695268,66695268,,,
95998959,3848,01034391,MST006666454,2008,2179,10370306,USD,969259164,969259164,,,
10370306,11317,10370306,MST006693979,2008,2187,11621800,USD,882703996,4257730,,,
11621800,15360,11621800,MST006745996,2008,2188,10624737,USD,69879243,69879243,,,
10624737,12380,10624737,MST006632820,2008,2467,10713036,USD,977495882,977495882,,,
99879185,15533,10713036,MST006640405,2008,2437,953954,USD,978878668,3238010,,,
12860568,6865,00953954,MST006703128,2008,2442,12562689,USD,967270543,967270543,,,
12562689,13730,12562689,MST006647295,2008,2439,10445433,USD,888735072,888735072,,,
10445433,6230,10445433,MST006723414,2008,2335,962922,USD,15633571,15633571,,,
77548700,5845,00962922,MST006667740,2008,2381,10665578,USD,886395324,886395324,,,
10665578,5654,10665578,MST006662546,2008,2383,521788,USD,11440379,4475978,,,
17904002,9880,00521788,MST006647151,2008,2421,17945745,USD,99763067,99763067,,,
17945745,4994,17945745,MST006662956,2008,2424,1842516,USD,70913414,70913414,,,
87895665,7522,01842516,MST006626761,2008,2426,2783539,USD,77501161,77501161,,,
888900712,9774,02783539,MST006689603,2008,2466,1928935,USD,86803570,86803570,,,
70542784,7886,01928935,MST006615174,2008,2294,2799675,USD,886713793,886713793,,,
887215353,9865,02799675,MST006621056,2008,2443,10670287,USD,964232072,4151872,,,
10670287,12903,10670287,MST006745862,2008,2452,10680889,USD,16782556,16782556,,,
10680889,13022,10680889,MST006732282,2008,2266,10749002,USD,87515950,4485464,,,
10749002,4330,10749002,MST006648137,2008,2269,11903646,USD,972176177,972176177,,,
11903646,9989,11903646,MST006722976,2008,2301,1560214,USD,976486668,3761276,,,
77912372,6860,01560214,MST006641798,2008,2404,15734577,USD,888328068,888328068,,,
969387630,2176,15734577,MST006590006,2008,2420,15938277,USD,78989181,78989181,,,
87256703,13799,15938277,MST006663550,2008,2274,1595289,USD,69912963,4296758,,,
98869292,6742,01595289,MST006723446,2008,2304,1624114,USD,978515177,4435245,,,
17866344,11778,01624114,MST006624748,2008,2306,2004687,USD,15279336,15279336,,,
95272725,8552,02004687,MST006579323,2008,2414,2847412,USD,70977521,4193016,,,
93825484,8774,02847412,MST006614551,2008,2207,193484,USD,86989452,4435112,,,
